days,kWh
22/05/24,3.461
23/05/24,3.398
24/05/24,4.428
25/05/24,3.626
26/05/24,3.65
27/05/24,3.771
28/05/24,3.561
29/05/24,3.085
30/05/24,3.281
31/05/24,4.134
01/06/24,3.6
02/06/24,4.332
03/06/24,3.507
04/06/24,3.313
05/06/24,3.487
06/06/24,3.182
07/06/24,2.938
08/06/24,3.399
09/06/24,3.189
10/06/24,3.299
11/06/24,3.725
12/06/24,3.368
13/06/24,3.336
14/06/24,3.104
15/06/24,2.976
16/06/24,3.726
17/06/24,3.141
18/06/24,3.144
19/06/24,3.262
20/06/24,3.357
21/06/24,2.963
22/06/24,3.047
23/06/24,3.495
24/06/24,3.711
25/06/24,3.415
26/06/24,3.053
27/06/24,2.851
28/06/24,2.079
29/06/24,2.087
30/06/24,2.091
01/07/24,2.081
02/07/24,2.085
03/07/24,2.08
04/07/24,2.083
05/07/24,2.076
06/07/24,2.151
07/07/24,3.67
08/07/24,3.12
09/07/24,3.503
10/07/24,3.744
11/07/24,3.669
12/07/24,3.736
13/07/24,3.612
14/07/24,3.683
15/07/24,3.517
16/07/24,3.489
17/07/24,3.387
18/07/24,3.282
19/07/24,3.47
20/07/24,3.335
21/07/24,3.714
22/07/24,3.665
23/07/24,3.573
24/07/24,3.597
25/07/24,3.415
26/07/24,3.245
27/07/24,3.17
28/07/24,2.87
29/07/24,3.026
30/07/24,3.721
31/07/24,3.761
01/08/24,3.82
02/08/24,2.964
03/08/24,3.358
04/08/24,3.346
05/08/24,3.573
06/08/24,3.586
07/08/24,3.731
08/08/24,3.571
09/08/24,3.668
10/08/24,3.869
11/08/24,3.837
12/08/24,4.369
13/08/24,4.266
14/08/24,3.744
15/08/24,4.0
16/08/24,3.947
17/08/24,3.856
18/08/24,3.868
19/08/24,3.688
20/08/24,3.247
21/08/24,3.965
22/08/24,4.02
23/08/24,4.367
24/08/24,3.723
25/08/24,4.216
26/08/24,3.712
27/08/24,3.986
28/08/24,3.82
29/08/24,3.872
30/08/24,3.742
31/08/24,3.591
01/09/24,3.531
02/09/24,3.704
03/09/24,3.554
04/09/24,4.042
05/09/24,3.756
06/09/24,3.45
07/09/24,3.408
08/09/24,3.306
09/09/24,2.294
10/09/24,1.795
11/09/24,1.793
12/09/24,1.792
13/09/24,1.796
14/09/24,2.545
15/09/24,1.793
16/09/24,1.789
17/09/24,1.79
18/09/24,1.792
19/09/24,1.821
20/09/24,1.823
21/09/24,1.814
22/09/24,1.817
23/09/24,1.818
24/09/24,1.818
25/09/24,1.817
26/09/24,1.81
27/09/24,1.785
28/09/24,1.786
29/09/24,1.784
30/09/24,1.787
01/10/24,1.784
02/10/24,1.796
03/10/24,1.788
04/10/24,1.789
05/10/24,1.784
06/10/24,1.797
07/10/24,1.804
08/10/24,1.793
09/10/24,1.807
10/10/24,1.793
11/10/24,1.785
12/10/24,1.79
13/10/24,1.785
14/10/24,1.79
15/10/24,1.797
16/10/24,1.791
17/10/24,1.802
18/10/24,1.803
19/10/24,1.794
20/10/24,1.8
21/10/24,1.797
22/10/24,2.947
23/10/24,4.038
24/10/24,3.538
25/10/24,3.905
26/10/24,3.132
27/10/24,3.808
28/10/24,3.822
29/10/24,3.423
30/10/24,3.604
31/10/24,3.885
01/11/24,3.265
02/11/24,4.119
03/11/24,3.081
04/11/24,4.081
05/11/24,3.095
06/11/24,3.409
07/11/24,3.511
08/11/24,3.965
09/11/24,3.305
10/11/24,3.37
11/11/24,3.81
12/11/24,3.325
13/11/24,3.502
14/11/24,3.33
15/11/24,3.846
16/11/24,3.412
17/11/24,3.843
18/11/24,3.211
19/11/24,4.489
20/11/24,3.715
21/11/24,3.765
22/11/24,3.483
23/11/24,4.073
24/11/24,3.496
25/11/24,3.425
26/11/24,3.503
27/11/24,3.664
28/11/24,3.717
29/11/24,4.074
30/11/24,3.548
01/12/24,3.552
02/12/24,3.624
03/12/24,3.092
04/12/24,3.778
05/12/24,3.743
06/12/24,3.264
07/12/24,3.897
08/12/24,3.276
09/12/24,4.002
10/12/24,3.411
11/12/24,3.83
12/12/24,3.961
13/12/24,3.493
14/12/24,4.451
15/12/24,3.302
16/12/24,3.443
17/12/24,3.113
18/12/24,3.156
19/12/24,3.585
20/12/24,3.475
21/12/24,3.107
22/12/24,3.519
23/12/24,4.98
24/12/24,3.989
25/12/24,3.47
26/12/24,3.521
27/12/24,3.781
28/12/24,3.955
29/12/24,3.218
30/12/24,4.479
31/12/24,4.431
01/01/25,4.126
02/01/25,3.468
03/01/25,4.13
04/01/25,3.084
05/01/25,3.584
06/01/25,4.419
07/01/25,3.343
08/01/25,3.219
09/01/25,3.559
10/01/25,3.201
11/01/25,3.732
12/01/25,3.414
13/01/25,4.453
14/01/25,3.422
15/01/25,3.601
16/01/25,3.504
17/01/25,3.47
18/01/25,3.447
19/01/25,3.402
20/01/25,3.908
21/01/25,3.395
22/01/25,4.786
23/01/25,3.82
24/01/25,3.551
25/01/25,4.104
26/01/25,3.673
27/01/25,4.579
28/01/25,3.777
29/01/25,2.964
30/01/25,3.519
31/01/25,2.818
01/02/25,3.82
02/02/25,3.983
03/02/25,3.669
04/02/25,4.254
05/02/25,3.429
06/02/25,3.173
07/02/25,3.907
08/02/25,4.366
09/02/25,3.368
10/02/25,2.684
